dataset = celebA
experiments = /home/uzahid/workspace/QDCGAN/PyTorch/experiments
dry_run = False
log_freq = 50
export = False
resume = None
evaluate = False
fid = False
gpus = [0]
num_workers = 4
batch_size = 128
lr = 0.0002
scheduler = FIXED
epochs = 100
random_seed = None
examples = 1
size = 32
gen_ch = 64
weight_bitwidth = 32
activation_bitwidth = 32
io_bitwidth = 8
Epoch: [1/100[1/1582]	Discriminator Loss 9.7976 (9.7976)	Generator Loss -0.0000 (-0.0000)	
Epoch: [1/100[51/1582]	Discriminator Loss -125.8734 (-82.3554)	Generator Loss -23.0267 (-11.9407)	
Epoch: [1/100[101/1582]	Discriminator Loss -158.5047 (-116.9339)	Generator Loss 1.5380 (-3.8107)	
Epoch: [1/100[151/1582]	Discriminator Loss -156.4192 (-129.9821)	Generator Loss -6.3781 (-1.9269)	
Epoch: [1/100[201/1582]	Discriminator Loss -140.4160 (-134.4774)	Generator Loss 5.4979 (-1.7553)	
Epoch: [1/100[251/1582]	Discriminator Loss -189.1468 (-136.6752)	Generator Loss -45.7358 (-3.4574)	
Epoch: [1/100[301/1582]	Discriminator Loss -194.4671 (-141.5329)	Generator Loss 0.7530 (-1.4333)	
Epoch: [1/100[351/1582]	Discriminator Loss -175.8593 (-144.6801)	Generator Loss 1.7497 (-1.1893)	
Epoch: [1/100[401/1582]	Discriminator Loss -159.3401 (-146.9371)	Generator Loss -7.0332 (-1.1186)	
Epoch: [1/100[451/1582]	Discriminator Loss -177.6457 (-148.6157)	Generator Loss 1.6272 (-1.0238)	
Epoch: [1/100[501/1582]	Discriminator Loss -112.8264 (-148.9009)	Generator Loss -15.0133 (-0.9569)	
Epoch: [1/100[551/1582]	Discriminator Loss -177.2652 (-149.5987)	Generator Loss -12.4334 (-1.0331)	
Epoch: [1/100[601/1582]	Discriminator Loss -178.0052 (-149.8830)	Generator Loss 11.6282 (-0.9324)	
Epoch: [1/100[651/1582]	Discriminator Loss -119.0136 (-149.4124)	Generator Loss -33.7988 (-0.9999)	
Epoch: [1/100[701/1582]	Discriminator Loss -143.3065 (-149.0764)	Generator Loss -22.6272 (-0.9154)	
Epoch: [1/100[751/1582]	Discriminator Loss -173.7889 (-149.3234)	Generator Loss 3.9956 (-0.9262)	
Epoch: [1/100[801/1582]	Discriminator Loss -120.3900 (-148.9844)	Generator Loss -13.4079 (-0.9652)	
Epoch: [1/100[851/1582]	Discriminator Loss -156.3223 (-148.8752)	Generator Loss 4.3704 (-0.9473)	
Epoch: [1/100[901/1582]	Discriminator Loss -141.7074 (-148.2694)	Generator Loss 12.8423 (-1.0880)	
Epoch: [1/100[951/1582]	Discriminator Loss -128.7976 (-147.9182)	Generator Loss -4.4500 (-1.3253)	
Epoch: [1/100[1001/1582]	Discriminator Loss -124.7267 (-146.7189)	Generator Loss -8.3675 (-1.4853)	
Epoch: [1/100[1051/1582]	Discriminator Loss -101.9793 (-144.6750)	Generator Loss 16.0208 (-1.8494)	
Epoch: [1/100[1101/1582]	Discriminator Loss -119.6989 (-143.0839)	Generator Loss -4.9639 (-1.6598)	
Epoch: [1/100[1151/1582]	Discriminator Loss -102.4376 (-141.4870)	Generator Loss -9.0925 (-1.5529)	
Epoch: [1/100[1201/1582]	Discriminator Loss -109.0722 (-139.6646)	Generator Loss 10.8407 (-1.4044)	
Epoch: [1/100[1251/1582]	Discriminator Loss -73.6405 (-137.9264)	Generator Loss -13.9293 (-1.2498)	
Epoch: [1/100[1301/1582]	Discriminator Loss -88.3424 (-135.7504)	Generator Loss -19.9915 (-1.0088)	
Epoch: [1/100[1351/1582]	Discriminator Loss -84.2119 (-133.5219)	Generator Loss -25.9813 (-0.7654)	
Epoch: [1/100[1401/1582]	Discriminator Loss -57.6876 (-131.1433)	Generator Loss -3.1578 (-0.5332)	
Epoch: [1/100[1451/1582]	Discriminator Loss -46.6216 (-128.2272)	Generator Loss 11.9088 (-0.2270)	
Epoch: [1/100[1501/1582]	Discriminator Loss -31.4315 (-125.1074)	Generator Loss 26.0029 (0.1242)	
Epoch: [1/100[1551/1582]	Discriminator Loss -32.4756 (-122.2681)	Generator Loss -9.6173 (0.4885)	
Epoch: [1/100[1582/1582]	Discriminator Loss -35.7059 (-120.4412)	Generator Loss 35.0454 (0.7649)	
FPS: 11180.040516046487
Image generated at /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/random_results/epoch_I8W32A32.png
Saving checkpoint model to /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/checkpoints/checkpoint_I8W32A32.tar
Epoch: [2/100[1/1582]	Discriminator Loss -26.0488 (-26.0488)	Generator Loss 9.9031 (9.9031)	
Epoch: [2/100[51/1582]	Discriminator Loss -29.5418 (-33.8689)	Generator Loss 4.7739 (14.1516)	
Epoch: [2/100[101/1582]	Discriminator Loss -31.0694 (-32.5540)	Generator Loss 54.2594 (12.3077)	
Epoch: [2/100[151/1582]	Discriminator Loss -34.8384 (-32.4302)	Generator Loss 23.2274 (12.4845)	
Epoch: [2/100[201/1582]	Discriminator Loss -33.6289 (-32.3245)	Generator Loss -8.1346 (12.2232)	
Epoch: [2/100[251/1582]	Discriminator Loss -32.4940 (-32.0871)	Generator Loss -6.7348 (12.2018)	
Epoch: [2/100[301/1582]	Discriminator Loss -27.5721 (-31.7724)	Generator Loss 13.9523 (12.1591)	
Epoch: [2/100[351/1582]	Discriminator Loss -30.1213 (-31.6301)	Generator Loss 27.2718 (11.8457)	
Epoch: [2/100[401/1582]	Discriminator Loss -32.6977 (-31.6070)	Generator Loss 34.1723 (12.2587)	
Epoch: [2/100[451/1582]	Discriminator Loss -30.1946 (-31.6087)	Generator Loss 22.0282 (12.3599)	
Epoch: [2/100[501/1582]	Discriminator Loss -30.3337 (-31.7685)	Generator Loss 49.6690 (12.8642)	
Epoch: [2/100[551/1582]	Discriminator Loss -32.5583 (-31.7919)	Generator Loss 5.3450 (13.0788)	
Epoch: [2/100[601/1582]	Discriminator Loss -31.0493 (-31.7184)	Generator Loss 14.5433 (12.7873)	
Epoch: [2/100[651/1582]	Discriminator Loss -33.9429 (-31.6970)	Generator Loss 15.9473 (12.8287)	
Epoch: [2/100[701/1582]	Discriminator Loss -32.6611 (-31.6321)	Generator Loss -0.5981 (12.7487)	
Epoch: [2/100[751/1582]	Discriminator Loss -27.9378 (-31.5675)	Generator Loss 18.0893 (12.8304)	
